School Name,State Name [Public School] Latest available year,Agency ID - NCES Assigned [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,American Indian/Alaska Native Students [Public School] 2020-21,Asian or Asian/Pacific Islander Students [Public School] 2020-21,Hispanic Students [Public School] 2020-21,Black or African American Students [Public School] 2020-21,White Students [Public School] 2020-21,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2020-21,Total Race/Ethnicity [Public School] 2020-21,Two or More Races Students [Public School] 2020-21,School Level (SY 2017-18 onward) [Public School] 2020-21
SOLEDAD HIGH,California,0637050,063705008225,1,38,1499,6,39,2,1595,10,High
SOLEDAD PRESCHOOL CENTER,California,0637050,063705013613,†,†,†,†,†,†,†,†,Not Reported
SOLEDAD TRANSITION CENTER,California,0637050,063705012813,–,–,10,–,1,–,11,–,High
SOLEIL ACADEMY CHARTER,CALIFORNIA,0601965,060196514349,0,0,182,12,1,0,195,0,Elementary
SOLORSANO MIDDLE,California,0615180,061518011203,3,77,580,14,121,–,842,47,Middle
SOLVANG ELEMENTARY,California,0637110,063711006295,4,5,325,7,239,–,607,27,Elementary
SOMERSET CONTINUATION HIGH,California,0604440,060444000408,1,0,92,14,10,0,121,4,High
SOMERSET MIDDLE,California,0638670,063867006500,3,53,463,39,318,9,933,48,Middle
SOMIS ELEMENTARY,California,0637140,063714006296,–,2,162,–,61,–,230,5,Elementary
SONOMA CHARTER,CALIFORNIA,0602260,060226004112,–,6,97,4,93,–,203,3,Elementary
SONOMA COUNTY ALTERNATIVE EDUCATION PROGRAMS,California,0691040,069104010682,1,2,38,1,15,0,57,0,Other
SONOMA COUNTY COURT,California,0691040,069104009253,2,0,6,0,3,1,12,0,Other
SONOMA COUNTY ROP,California,0600129,060012911485,0,0,0,0,0,0,0,0,High
SONOMA COUNTY SPECIAL EDUCATION,California,0691040,069104007225,–,10,151,11,124,2,311,13,Other
SONOMA ELEMENTARY,California,0625130,062513003751,1,25,233,4,127,4,433,39,Elementary
SONOMA MOUNTAIN ELEMENTARY,California,0628320,062832007455,1,17,66,3,342,–,462,33,Elementary
SONOMA MOUNTAIN HIGH (CONTINUATION),California,0630250,063025001788,0,0,12,0,20,0,32,0,High
SONOMA VALLEY HIGH,California,0637200,063720006304,10,32,706,4,421,2,1203,28,High
SONORA ELEMENTARY,California,0627240,062724004130,1,19,264,–,52,7,355,12,Elementary
SONORA ELEMENTARY,California,0637230,063723006305,14,24,123,1,503,2,698,31,Elementary
SONORA HIGH,California,0637260,063726006306,9,28,182,2,631,4,903,47,High
SONORA HIGH,California,0614760,061476001814,4,149,1230,30,286,3,1741,39,High
SOPHIA T. SALVIN SPECIAL EDUCATION CENTER,California,0622710,062271007764,0,3,84,15,1,0,104,1,Other
SOQUEL ELEMENTARY,California,0637290,063729006311,2,14,168,5,195,1,405,20,Elementary
SOQUEL HIGH,California,0635600,063560006068,10,38,382,14,559,3,1034,28,High
SOTO STREET ELEMENTARY,California,0622710,062271003362,–,–,203,1,4,–,208,–,Elementary
SOTOMAYOR ARTS AND SCIENCES MAGNET,California,0622710,062271012916,2,32,581,10,13,1,641,2,High
SOULSBYVILLE,CALIFORNIA,0637320,063732014450,†,†,†,†,†,†,†,†,Not Reported
SOULSBYVILLE ELEMENTARY,California,0637320,063732006312,5,–,74,3,366,–,476,28,Elementary
SOUTH BAY CHARTER,California,0637350,063735012891,4,4,23,1,76,–,122,14,Elementary
SOUTH BAY ELEMENTARY,California,0637350,063735006314,6,8,27,–,77,1,135,16,Middle
SOUTH COAST CONTINUATION,California,0631230,063123007331,1,0,6,0,2,0,10,1,High
SOUTH COUNTY CONSORTIUM,CALIFORNIA,0630230,063023013936,3,3,41,5,80,–,139,7,Other
SOUTH EAST HIGH,California,0622710,062271010888,–,–,1894,46,16,–,1956,–,High
SOUTH EL MONTE HIGH,California,0612120,061212000439,–,50,1203,1,4,–,1261,3,High
SOUTH FORK ELEMENTARY,California,0637470,063747006331,8,3,47,–,208,–,291,25,Elementary
SOUTH FORK HIGH,California,0638280,063828010105,1,0,0,0,2,0,4,1,High
SOUTH FORK JUNIOR - SENIOR HIGH,California,0637590,063759006369,5,2,37,3,171,2,232,12,High
SOUTH GATE MIDDLE,California,0622710,062271003363,2,4,1494,14,37,2,1558,5,Middle
SOUTH GATE SENIOR HIGH,California,0622710,062271003364,1,1,1986,8,15,1,2013,1,High
SOUTH HIGH,California,0639420,063942006573,7,717,390,57,637,5,1976,163,High
SOUTH HIGH,California,0619540,061954002353,6,35,1959,209,93,3,2323,18,High
SOUTH HILLS HIGH,California,0610050,061005001105,6,168,1246,54,153,1,1646,18,High
SOUTH HILLSBOROUGH,California,0617190,061719002174,–,54,12,2,118,1,216,29,Elementary
SOUTH JUNIOR HIGH,California,0602630,060263000188,3,47,1292,13,51,1,1418,11,Middle
SOUTH LAKE MIDDLE,California,0684500,068450003493,1,126,80,13,170,–,437,47,Middle
SOUTH LINDHURST CONTINUATION HIGH,California,0624090,062409002879,1,9,46,9,22,0,89,2,High
SOUTH OCEANSIDE ELEMENTARY,California,0628250,062825004374,2,3,273,7,193,5,539,56,Elementary
SOUTH PARK ELEMENTARY,California,0622710,062271003365,–,3,805,135,9,3,962,7,Elementary
SOUTH PASADENA MIDDLE,California,0637500,063750006337,1,382,277,19,315,2,1176,180,Middle
SOUTH PASADENA SENIOR HIGH,California,0637500,063750006338,1,497,362,24,401,–,1450,165,High
SOUTH POINTE MIDDLE,California,0641280,064128009654,1,600,201,9,36,7,900,46,Middle
SOUTH RANCHITO DUAL LANGUAGE ACADEMY,California,0612180,061218001385,–,2,461,3,4,1,474,3,Elementary
SOUTH SAN FRANCISCO HIGH,California,0637530,063753006352,3,390,753,20,60,20,1303,57,High
SOUTH SHORES/CSUDH VISUAL AND PERFORMING ARTS,California,0622710,062271003366,–,12,244,27,143,5,451,20,Elementary
SOUTH SUTTER CHARTER,CALIFORNIA,0601740,060174011518,12,74,413,59,1623,10,2628,437,Other
SOUTH TAHOE HIGH,California,0620640,062064002481,7,61,518,2,522,2,1148,36,High
SOUTH TAHOE MIDDLE,California,0620640,062064002482,2,34,385,2,294,1,743,25,Middle
SOUTH TAMARIND ELEMENTARY,California,0613920,061392001603,–,4,544,15,20,5,591,3,Elementary
SOUTH VALLEY HIGH (CONTINUATION),California,0640300,064030006663,15,0,58,0,40,0,120,7,High
SOUTH VALLEY MIDDLE,California,0615180,061518001918,3,37,703,9,62,1,848,33,Middle
SOUTH/WEST PARK ELEMENTARY,California,0600047,060004707393,2,89,624,35,39,5,807,13,Elementary
SOUTHEAST MIDDLE,California,0622710,062271010860,1,2,1221,22,20,–,1269,3,Middle
SOUTHERN CALIFORNIA ROC,California,0600107,060010710920,0,0,0,0,0,0,0,0,High
SOUTHERN HUMBOLDT COMMUNITY,California,0691009,069100910795,2,0,1,0,5,0,8,0,High
SOUTHERN TRINITY HIGH,California,0637630,063763006377,1,–,6,–,18,–,26,1,High
SOUTHGATE ELEMENTARY,California,0616740,061674002132,–,213,289,40,22,52,657,41,Elementary
SOUTHPORT ELEMENTARY,California,0641580,064158007936,6,98,295,35,249,13,755,59,Elementary
SOUTHRIDGE TECH MIDDLE,California,0613920,061392009137,1,39,843,65,41,1,996,6,Middle
SOUTHSHORE ELEMENTARY,California,0624540,062454012286,3,63,324,53,244,3,770,80,Elementary
SOUTHSIDE ELEMENTARY,California,0637650,063765006379,–,1,119,4,80,–,205,1,Elementary
SOUTHWEST HIGH,California,0608010,060801004486,1,19,1877,8,79,–,1987,3,High
SOUTHWEST MIDDLE,California,0638640,063864006491,1,8,475,5,50,1,549,9,Middle
SOUTHWEST SENIOR HIGH,California,0638640,063864006492,5,40,1417,17,89,4,1590,18,High
SPACE AERONAUTICS GATEWAY TO EXPLORATION MAGNET ACADEMY,CALIFORNIA,0629580,062958014085,11,14,690,172,29,–,922,6,Middle
SPANOS (ALEX G.) ELEMENTARY,California,0638010,063801012281,–,20,392,13,4,–,434,5,Elementary
SPARKS ELEMENTARY,California,0616325,061632502063,1,20,410,1,5,–,439,2,Elementary
SPARKS MIDDLE,California,0616325,061632502064,–,13,387,4,5,3,414,2,Middle
SPARROW ACADEMY,CALIFORNIA,0602298,060229814132,2,20,131,7,153,2,322,7,Elementary
SPECIAL EDUCATION,California,0691045,069104509257,2,24,799,17,173,2,1024,7,Other
SPECIAL EDUCATION,California,0691006,069100609218,5,15,25,5,122,0,178,6,Other
SPECIAL EDUCATION PRESCHOOL,California,0619680,061968013451,†,†,†,†,†,†,†,†,Not Reported
SPECIAL EDUCATION PRESCHOOL,California,0621990,062199013374,†,†,†,†,†,†,†,†,Not Reported
SPECIAL EDUCATION PRESCHOOL,CALIFORNIA,0608610,060861014135,†,†,†,†,†,†,†,†,Not Reported
SPECIAL EDUCATION PRESCHOOL,CALIFORNIA,0640200,064020014476,†,†,†,†,†,†,†,†,Not Reported
SPECIAL EDUCATION PRESCHOOL DIS,California,0621690,062169013335,†,†,†,†,†,†,†,†,Not Reported
SPECIAL EDUCATION-INFANT/PRESCHOOL PROGRAM,California,0622710,062271012837,†,†,†,†,†,†,†,†,Not Reported
SPECIAL EDUCATION-PRESCHOOL-LAUREL,California,0616740,061674013405,†,†,†,†,†,†,†,†,Not Reported
SPENCER VALLEY ELEMENTARY,California,0637680,063768006380,0,0,12,0,16,0,32,4,Elementary
SPRECKELS ELEMENTARY,California,0637710,063771006381,–,25,242,–,301,1,619,50,Elementary
SPRECKELS ELEMENTARY,California,0634320,063432005553,1,78,208,8,299,2,660,64,Elementary
SPRING CREEK MATANZAS CHARTER,California,0632640,063264005079,18,25,161,10,200,3,428,11,Elementary
SPRING GROVE ELEMENTARY,California,0627480,062748004137,–,3,451,2,218,–,728,54,Elementary
SPRING HILL HIGH (CONTINUATION),California,0623940,062394008895,3,0,15,1,17,0,38,2,High
SPRING HILL OPPORTUNITY,California,0691090,069109000651,0,0,0,0,0,0,0,0,Elementary
SPRING LAKE ELEMENTARY,CALIFORNIA,0643080,064308014365,3,41,85,6,113,1,276,27,Elementary
SPRING VALLEY ACADEMY,California,0620250,062025002445,3,27,339,64,58,5,522,26,Middle
SPRING VALLEY ELEMENTARY,California,0634410,063441005670,–,108,114,1,20,1,274,30,Elementary
SPRING VALLEY ELEMENTARY,California,0624900,062490003721,1,258,48,3,50,3,414,51,Elementary
SPRING VALLEY ELEMENTARY,California,0600116,060011609482,9,1,33,1,153,1,206,8,Elementary
SPRING VIEW MIDDLE,California,0600013,060001308553,12,74,174,19,495,7,841,60,Middle
SPRING VIEW MIDDLE,California,0628140,062814004346,–,68,282,6,245,2,649,46,Middle
SPRINGBROOK ELEMENTARY,California,0684500,068450009468,–,79,62,4,150,–,338,43,Elementary
SPRINGER ELEMENTARY,California,0622650,062265002790,–,108,14,–,168,–,346,56,Elementary
SPRINGHILL ELEMENTARY,California,0620310,062031002450,–,57,31,–,267,–,444,89,Elementary
SPRINGVILLE ELEMENTARY,California,0637770,063777006383,10,3,74,–,187,–,283,9,Elementary
SPRUCE ELEMENTARY,California,0637530,063753006354,–,53,384,8,6,5,466,10,Elementary
SPY ROCK ELEMENTARY,California,0642580,064258009464,0,0,0,0,4,0,5,1,Elementary
ST. HOPE PUBLIC SCHOOL 7,CALIFORNIA,0602094,060209411199,3,7,147,332,9,–,565,67,Elementary
STAGG SENIOR HIGH,California,0638010,063801006432,43,170,1151,247,171,7,1836,47,High
STAGG STREET ELEMENTARY,California,0622710,062271003368,1,29,310,19,60,1,435,15,Elementary
STANDARD ELEMENTARY,California,0637890,063789006390,5,5,207,26,257,–,504,4,Elementary
STANDARD MIDDLE,California,0637890,063789006391,12,7,342,24,562,1,971,23,Middle
STANDIFORD ELEMENTARY,California,0638670,063867006501,1,39,184,17,129,5,402,27,Elementary
STANDLEY MIDDLE,California,0634320,063432005554,3,128,325,22,330,–,900,92,Middle
STANFORD AVENUE ELEMENTARY,California,0629100,062910004493,15,9,69,18,261,–,454,82,Elementary
STANFORD AVENUE ELEMENTARY,California,0622710,062271003369,2,1,460,1,6,–,472,2,Elementary
STANFORD ELEMENTARY,California,0614880,061488001881,–,281,217,2,14,6,535,15,Elementary
STANFORD MIDDLE,California,0622500,062250002758,2,134,467,103,396,17,1234,115,Middle
STANFORD PRIMARY CENTER,California,0622710,062271010856,–,–,132,1,1,–,134,–,Elementary
STANISLAUS ALTERNATIVE CHARTER,CALIFORNIA,0602421,060242113669,10,24,412,35,175,4,678,18,High
STANISLAUS COUNTY SPECIAL EDUCATION,California,0691041,069104107228,6,14,170,19,106,2,329,12,Other
STANISLAUS COUNTY WEST CAMPUS,California,0691041,069104109050,1,0,34,5,19,0,61,2,Other
STANISLAUS ELEMENTARY,California,0637950,063795006397,5,48,142,8,121,3,348,21,Elementary
STANISLAUS MILITARY ACADEMY AT TEEL,California,0691041,069104111486,1,–,79,6,41,3,137,7,High
STANLEY G. OSWALT ACADEMY,California,0633750,063375008956,–,447,406,30,33,4,962,42,Elementary
STANLEY MOSK ELEMENTARY,California,0622710,062271012671,–,58,395,12,43,–,521,13,Elementary
STANTON ELEMENTARY,California,0615270,061527001958,2,49,347,9,101,1,538,29,Elementary
STANTON ELEMENTARY,California,0607800,060780009525,–,159,137,33,94,1,489,65,Elementary
STANWOOD A. MURPHY ELEMENTARY,California,0636100,063610006171,6,–,28,–,129,–,188,25,Elementary
STAR AT ANDERSON COMMUNITY DAY,California,0634170,063417007629,0,0,3,3,2,0,8,0,Elementary
STAR VIEW ELEMENTARY,California,0628140,062814004347,1,240,90,2,55,2,411,21,Elementary
STARLIGHT ELEMENTARY,California,0629490,062949009601,–,4,518,–,9,1,535,3,Elementary
STARLIGHT ELEMENTARY,CALIFORNIA,0604290,060429014274,3,53,616,49,188,2,955,44,Elementary
STARR ELEMENTARY,California,0614550,061455001768,2,10,178,11,122,1,343,19,Elementary
STARR KING K-8,California,0634620,063462005822,4,254,141,94,256,5,812,58,Elementary
STATE LINE ELEMENTARY,California,0625190,062519003767,0,0,0,0,5,0,6,1,Elementary
STATE STREET ELEMENTARY,California,0622710,062271003370,–,1,471,1,5,–,480,2,Elementary
STAUFFER (MARY R.) MIDDLE,California,0611460,061146001279,–,17,1244,35,60,1,1361,4,Middle
STEAM ACADEMY @ BURKE,California,0612180,061218001370,–,8,572,2,6,–,590,2,Middle
STEELE CANYON HIGH,CALIFORNIA,0601838,060183808594,10,54,1073,107,764,5,2181,168,High
STEELE LANE ELEMENTARY,California,0635810,063581006135,7,17,262,11,53,4,365,11,Elementary
STEFFAN MANOR ELEMENTARY,California,0640740,064074006737,2,43,315,83,47,19,518,9,Elementary
STEGE ELEMENTARY,California,0632550,063255005061,3,26,70,103,11,4,229,12,Elementary
STEINDORF STEAM K-8 MAGNET,CALIFORNIA,0607140,060714013993,2,160,61,7,179,–,465,56,Elementary
STELLA BROCKMAN ELEMENTARY,California,0623610,062361009916,8,103,380,35,130,8,710,46,Elementary
STELLA ELEMENTARY CHARTER ACADEMY,CALIFORNIA,0602322,060232214281,3,1,153,24,3,1,188,3,Elementary
STELLA I. HILLS ELEMENTARY,California,0603630,060363009713,7,8,345,187,58,1,624,18,Elementary
STELLA MIDDLE CHARTER ACADEMY,CALIFORNIA,0601889,060188911361,7,–,403,55,1,–,469,3,Middle
STELLAR CHARTER,CALIFORNIA,0632040,063204014118,1,1,28,–,163,1,207,13,Other
STEM ACADEMY AT BERNSTEIN HIGH,California,0622710,062271013139,2,45,516,9,26,2,604,4,High
STEM PREPARATORY ELEMENTARY,CALIFORNIA,0602045,060204514315,3,1,243,64,1,–,313,1,Elementary
STEPHEN FOSTER ELEMENTARY,California,0604440,060444000397,3,74,312,44,99,12,579,35,Elementary
STEPHEN M. WHITE MIDDLE,California,0622710,062271003460,6,263,938,305,51,43,1632,26,Middle
STEPHEN R. FITZ INTERMEDIATE,California,0614880,061488001843,–,83,506,7,12,3,617,6,Middle
STEPHENS ELEMENTARY,California,0608520,060852000850,–,6,146,4,55,–,211,–,Elementary
STEPHENS MIDDLE,California,0622500,062250002759,1,80,518,97,7,20,736,13,Middle
STEVE LUTHER ELEMENTARY,California,0610440,061044001170,–,115,170,12,67,9,399,26,Elementary
STEVEN MILLARD ELEMENTARY,California,0614400,061440001676,1,380,68,5,42,4,523,23,Elementary
STEVENS CREEK ELEMENTARY,California,0610290,061029001152,1,311,24,3,80,–,443,24,Elementary
STEVENSON (ROBERT LOUIS) ELEMENTARY,California,0634410,063441005660,–,361,27,9,23,1,487,66,Elementary
STEVENSON ELEMENTARY,California,0626280,062628012540,1,158,47,3,152,1,433,71,Elementary
STEVENSON ELEMENTARY,California,0622500,062250002760,–,24,412,79,21,2,559,21,Elementary
STEVENSON RANCH ELEMENTARY,California,0627180,062718004595,2,97,98,9,232,–,498,60,Elementary
STEWART ELEMENTARY,California,0632550,063255005062,2,85,178,60,48,2,405,30,Elementary
STINE ELEMENTARY,California,0606390,060639009330,–,12,376,134,57,4,610,27,Elementary
STIPE (SAMUEL) ELEMENTARY,California,0627810,062781004221,1,76,258,15,5,5,372,12,Elementary
STOCKARD COFFEE ELEMENTARY,California,0638670,063867006498,4,39,228,10,169,6,484,28,Elementary
STOCKDALE ELEMENTARY,California,0606390,060639009333,1,74,291,23,180,1,602,32,Elementary
STOCKDALE HIGH,California,0619540,061954010223,9,429,1025,155,532,2,2321,169,High
STOCKTON (COMMODORE) CHILDREN CENTER,California,0634410,063441013621,–,20,–,–,–,–,22,2,Elementary
STOCKTON COLLEGIATE INTERNATIONAL ELEMENTARY,CALIFORNIA,0602418,060241812451,–,40,298,35,38,1,457,45,Elementary
STOCKTON COLLEGIATE INTERNATIONAL SECONDARY,CALIFORNIA,0601792,060179212547,4,83,300,34,48,2,514,43,High
STOCKTON EARLY COLLEGE ACADEMY,California,0638010,063801012446,4,197,199,12,22,2,443,7,High
STOCKTON HIGH,California,0638010,063801012443,2,3,124,19,11,0,166,7,High
STODDARD (ALEXANDER J.) ELEMENTARY,California,0602610,060261000167,2,106,484,25,62,2,710,29,Elementary
STONE AVENUE ELEMENTARY,California,0619260,061926002418,2,3,570,8,60,3,661,15,Elementary
STONE BRIDGE,CALIFORNIA,0601978,060197810975,–,8,34,3,203,1,269,20,Elementary
STONE CORRAL ELEMENTARY,California,0638040,063804006439,–,1,127,–,1,–,130,1,Elementary
STONE CREEK ELEMENTARY,California,0684500,068450007065,–,115,47,1,141,–,340,36,Elementary
STONE LAKE ELEMENTARY,California,0612330,061233008573,1,206,197,55,158,13,718,88,Elementary
STONE RANCH ELEMENTARY,California,0631530,063153011133,–,365,68,2,271,–,804,98,Elementary
STONE VALLEY MIDDLE,California,0635130,063513005958,–,59,60,5,380,1,561,56,Middle
STONEBRAE ELEMENTARY,California,0616740,061674011550,1,192,278,73,68,13,696,71,Elementary
STONECREEK JUNIOR HIGH,California,0606390,060639011597,3,132,703,79,105,4,1069,43,Middle
STONEGATE ELEMENTARY,California,0684500,068450007050,–,243,41,2,97,1,421,37,Elementary
STONEGATE ELEMENTARY,California,0614370,061437001652,–,289,264,14,15,4,594,8,Elementary
STONEGATE ELEMENTARY,California,0641580,064158012071,4,136,261,28,333,12,863,89,Elementary
STONEHURST AVENUE ELEMENTARY,California,0622710,062271003374,1,11,248,3,25,–,294,6,Elementary
STONEMAN ELEMENTARY,California,0630600,063060009995,–,71,257,165,33,8,587,53,Elementary
STONER AVENUE ELEMENTARY,California,0622710,062271003375,–,4,260,18,7,–,292,3,Elementary
STONERIDGE ELEMENTARY,California,0633600,063360008761,2,103,99,11,303,2,569,49,Elementary
STONEY POINT CONTINUATION,California,0622710,062271003376,–,4,76,4,13,–,97,–,High
STOWERS(CECIL B.) ELEMENTARY,California,0601620,060162000026,1,315,173,40,42,2,607,34,Elementary
STRANDWOOD ELEMENTARY,California,0626370,062637003974,–,60,106,5,329,2,573,71,Elementary
STRATFORD ELEMENTARY,California,0607980,060798000768,4,4,266,3,17,3,301,4,Elementary
STRATHERN STREET ELEMENTARY,California,0622710,062271003377,–,25,430,3,50,–,512,4,Elementary
STRATHMORE COMMUNITY DAY,California,0638130,063813010702,0,0,0,0,0,0,0,0,Elementary
STRATHMORE ELEMENTARY,California,0638130,063813012108,9,2,658,–,46,–,718,3,Elementary
STRATHMORE HIGH,California,0600064,060006411535,3,–,318,1,42,–,371,7,High
STRAWBERRY ELEMENTARY,California,0604650,060465000429,2,21,98,10,224,3,390,32,Middle
STRAWBERRY POINT ELEMENTARY,California,0624870,062487008518,3,19,27,2,174,2,260,33,Elementary
STREAM CHARTER,CALIFORNIA,0602057,060205713790,10,26,36,5,156,2,286,51,Elementary
STREET ACADEMY (ALTERNATIVE),California,0628050,062805007804,2,2,38,40,–,–,87,5,High
STROBRIDGE ELEMENTARY,California,0616740,061674008855,1,32,265,48,19,5,401,31,Elementary
STUART MESA ELEMENTARY,California,0628250,062825007717,1,14,173,36,155,10,454,65,Elementary
STUDEBAKER ELEMENTARY,California,0621930,062193002608,–,25,402,6,20,–,458,5,Elementary
SUCCESS ACADEMY,California,0633840,063384008282,0,0,0,0,0,0,0,0,Middle
SUCCESS LEARNING CENTER,CALIFORNIA,0601428,060142814278,0,1,5,2,3,0,23,12,Other
SUCCESS ONE!,CALIFORNIA,0691008,069100813810,–,1,38,–,13,–,57,5,High
SUGAR HILL ELEMENTARY,California,0625800,062580008910,–,8,388,89,63,–,588,40,Elementary
SUGARLOAF MOUNTAIN JUVENILE HALL PROGRAM,California,0691023,069102312339,1,0,1,0,1,0,3,0,High
SUISUN ELEMENTARY,California,0613360,061336007283,2,58,220,100,59,2,511,70,Elementary
SUISUN VALLEY ELEMENTARY,California,0613360,061336001528,2,70,124,37,192,–,473,48,Elementary
SULPHUR SPRINGS COMMUNITY ELEMENTARY,California,0638220,063822006450,–,63,251,19,169,1,539,36,Elementary
SULPHUR SPRINGS SPECIAL EDUCATION CONSORTIA,CALIFORNIA,0638220,063822014133,0,0,0,0,0,0,0,0,Elementary
SULTANA ELEMENTARY,California,0628470,062847004412,2,16,619,14,16,5,675,3,Elementary
SULTANA HIGH,California,0600014,060001405093,13,19,1288,113,499,8,1955,15,High
SUMAC ELEMENTARY,California,0621000,062100002525,–,10,160,6,145,–,347,26,Elementary
SUMMER LAKE ELEMENTARY,CALIFORNIA,0628080,062808014374,4,29,113,46,137,2,341,10,Elementary
SUMMERDALE ELEMENTARY,California,0604800,060480000467,–,228,100,2,8,4,358,16,Elementary
SUMMERLAND ELEMENTARY,California,0607560,060756000729,–,–,11,–,32,–,50,7,Elementary
SUMMERVILLE ELEMENTARY,California,0638250,063825006451,36,–,60,–,242,–,384,46,Elementary
SUMMERVILLE HIGH,California,0638280,063828006452,11,1,67,4,287,2,410,38,High
SUMMERWIND ELEMENTARY,California,0629580,062958009609,6,14,412,124,47,2,633,28,Elementary
SUMMIT,CALIFORNIA,0628270,062827014449,–,7,6,2,88,–,113,10,Other
SUMMIT CHARTER ACADEMY,California,0606570,060657011526,28,46,1771,10,376,1,2309,77,Other
SUMMIT ELEMENTARY,CALIFORNIA,0602430,060243014022,0,0,0,0,0,0,0,0,Elementary
SUMMIT HIGH,California,0613920,061392011099,3,176,1963,241,180,7,2624,54,High
